internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
166191,Procypris mera,"Procypris  niger Herre & Lin, 1934",Procypris ,niger,"Herre & Lin, 1934",,
166195,Siniperca knerii,"Siniperca kneri Garman, 1912 [orth. error]",Siniperca,kneri,"Garman, 1912 [orth. error]",,
166197,Salanx chinensis,"Albula chinensis  Osbeck, 1765",Albula,chinensis," Osbeck, 1765",,
166197,Salanx chinensis,"Leucosoma  chinensis  (Osbeck, 1765) ",Leucosoma ,chinensis," (Osbeck, 1765) ",,
166200,Salanx cuvieri,"Parasalanx  angusticeps Regan, 1908",Parasalanx ,angusticeps,"Regan, 1908",,
166200,Salanx cuvieri,"  Salanx  angusticeps   (Regan, 1908)",  Salanx ,angusticeps  ,"(Regan, 1908)",,
166200,Salanx cuvieri,"Parasalanx  gracillimus Regan, 1908",Parasalanx ,gracillimus,"Regan, 1908",,
166200,Salanx cuvieri,"Parasalanx  cantonensis Herre, 1932",Parasalanx ,cantonensis,"Herre, 1932",,
166212,Liniparhomaloptera disparis,"Parhomaloptera disparis  Lin, 1934",Parhomaloptera,disparis," Lin, 1934",,
166212,Liniparhomaloptera disparis,"Liniparhomaloptera  disparis ssp. qiongzhongensis Zheng & Chen, 1980",Liniparhomaloptera ,disparis,,subspecies,"Zheng & Chen, 1980"
166415,Otolithoides pama,"Sciaenoides hardwickii Blyth, 1860",Sciaenoides,hardwickii,"Blyth, 1860",,
166415,Otolithoides pama,"Bola pama Hamilton, 1822",Bola,pama,"Hamilton, 1822",,
166415,Otolithoides pama,"Sciaenoides pama (Hamilton, 1822)",Sciaenoides,pama,"(Hamilton, 1822)",,
166415,Otolithoides pama,"Pama pama (Hamilton, 1822)",Pama,pama,"(Hamilton, 1822)",,
166461,Macrospinosa cuja,"Sciaenoides asper Blyth, 1860",Sciaenoides,asper,"Blyth, 1860",,
166461,Macrospinosa cuja,"Bola cuja Hamilton, 1822",Bola,cuja,"Hamilton, 1822",,
166490,Moringua raitaborua,Muraena raitaborua Hamilton 1822,Muraena,raitaborua,Hamilton 1822,,
166858,Hainania serrata,"Hemiculter  serracanthus Koller, 1927",Hemiculter ,serracanthus,"Koller, 1927",,
166858,Hainania serrata,"Hemiculter serratus (Koller, 1927)",Hemiculter,serratus,"(Koller, 1927)",,
166858,Hainania serrata,"Pseudohemiculter serrata (Koller, 1927)",Pseudohemiculter,serrata,"(Koller, 1927)",,
166870,Pareuchiloglanis macrotrema,"Euchiloglanis macrotrema Norman, 1925 ",Euchiloglanis,macrotrema,"Norman, 1925 ",,
166875,Vanmanenia tetraloba,"Homaloptera tetraloba Mai, 1978",Homaloptera,tetraloba,"Mai, 1978",,
166876,Spinibarbus hollandi,"Spinibarbus elongatus Oshima, 1920",Spinibarbus,elongatus,"Oshima, 1920",,
166876,Spinibarbus hollandi,"Mystacoleucus mandarinus Rendahl, 1926",Mystacoleucus,mandarinus,"Rendahl, 1926",,
166876,Spinibarbus hollandi,"Spinibarbus nigrodorsalis Oshima, 1926",Spinibarbus,nigrodorsalis,"Oshima, 1926",,
166876,Spinibarbus hollandi,"Spinibarbus caldwelli ssp. vietnamensis Mai, 1978",Spinibarbus,caldwelli,,subspecies,"Mai, 1978"
166886,Hypophthalmichthys harmandi,"Hypophthalmichthys molitrix Mai Dinh Yen, 1978  ssp. harmandi",Hypophthalmichthys,molitrix,"Mai Dinh Yen, 1978 ",subspecies,
166896,Glyptothorax honghensis,"Glyptothorax  fukiensis  Li, 1984 ssp. honghensis Rendahl, 1925",Glyptothorax ,fukiensis," Li, 1984",subspecies,"Rendahl, 1925"
166898,Scaphiodonichthys macracanthus,"Onychostoma  brevicephalus Mai, 1978",Onychostoma ,brevicephalus,"Mai, 1978",,
166898,Scaphiodonichthys macracanthus,"Onychostoma  macracanthus Pellegrin & Chevey, 1936",Onychostoma ,macracanthus,"Pellegrin & Chevey, 1936",,
166898,Scaphiodonichthys macracanthus,"Varicorhinus  macracanthus  (Pellegrin & Chevey, 1936)",Varicorhinus ,macracanthus," (Pellegrin & Chevey, 1936)",,
166903,Semilabeo notabilis,"Amplolabrius mirus Lin, 1933",Amplolabrius,mirus,"Lin, 1933",,
166903,Semilabeo notabilis,"Chanodichthys  affinis Vaillant, 1892",Chanodichthys ,affinis,"Vaillant, 1892",,
166907,Beaufortia leveretti,"Gastromyzon leveretti Nichols & Pope, 1927",Gastromyzon,leveretti,"Nichols & Pope, 1927",,
166909,Folifer brevifilis,"Barbus brevifilis Peters, 1881",Barbus,brevifilis,"Peters, 1881",,
166909,Folifer brevifilis,"Barbus bonvaloti Vaillant, 1893",Barbus,bonvaloti,"Vaillant, 1893",,
166909,Folifer brevifilis,"Tor brevifilis (Peters, 1881)",Tor,brevifilis,"(Peters, 1881)",,
166912,Parazacco spilurus,"Aspius spilurus Günther, 1868",Aspius,spilurus,"Günther, 1868",,
166912,Parazacco spilurus,"Opsariichthys  elegans  (Pellegrin & Chevey, 1934)",Opsariichthys ,elegans," (Pellegrin & Chevey, 1934)",,
166912,Parazacco spilurus,"Parazacco spilurus (Günther, 1868) ssp. spilurus (Günther, 1868)",Parazacco,spilurus,"(Günther, 1868)",subspecies,"(Günther, 1868)"
166912,Parazacco spilurus,"Zacco  asperus Nichols & Pope, 1927",Zacco ,asperus,"Nichols & Pope, 1927",,
