assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
2477691,196881,Macrobrachium shaoi,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,PALAEMONIDAE,Macrobrachium,shaoi,,,,"Cai &amp; Jeng, 2001",Data Deficient,,3.1,Unknown,Global
2478063,197030,Potamarius usumacintae,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,ARIIDAE,Potamarius,usumacintae,,,,"Betancur-R. &amp; Willink, 2007",Data Deficient,,3.1,Unknown,Global
2478070,197031,Sciades passany,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,ARIIDAE,Sciades,passany,,,,"(Valenciennes, 1840)",Data Deficient,,3.1,Unknown,Global
2478197,197034,Agonostomus catalai,ANIMALIA,CHORDATA,MUGILIFORMES,ACTINOPTERYGII,MUGILIDAE,Agonostomus,catalai,,,,"Pellegrin, 1932",Data Deficient,,3.1,Unknown,Global
2478310,197044,Liza grandisquamis,ANIMALIA,CHORDATA,MUGILIFORMES,ACTINOPTERYGII,MUGILIDAE,Liza,grandisquamis,,,,"(Valenciennes, 1836)",Data Deficient,,3.1,Unknown,Global
2480774,197253,Rhinophis lineatus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,UROPELTIDAE,Rhinophis,lineatus,,,,"Gower &amp; Maduwage, 2011",Data Deficient,,3.1,Decreasing,Global
2480781,197254,Rhinophis zigzag,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,UROPELTIDAE,Rhinophis,zigzag,,,,"Gower &amp; Maduwage, 2011",Data Deficient,,3.1,Decreasing,Global
2481933,197304,Rhombosolea retiaria,ANIMALIA,CHORDATA,PLEURONECTIFORMES,ACTINOPTERYGII,RHOMBOSOLEIDAE,Rhombosolea,retiaria,,,,"Hutton, 1874",Data Deficient,,3.1,Unknown,Global
2482885,197432,Acanthodactylus taghitensis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,LACERTIDAE,Acanthodactylus,taghitensis,,,,"Geniez &amp; Foucart, 1995",Data Deficient,,3.1,Unknown,Global
2491495,197576,Neocaridina curvifrons,ANIMALIA,ARTHROPODA,DECAPODA,MALACOSTRACA,ATYIDAE,Neocaridina,curvifrons,,,,"(Liang, 1979)",Data Deficient,,3.1,Unknown,Global
